index,kabc_absTEC,kabc_absCB,usln_absTEC,usln_absCB,kazn_absTEC,kazn_absCB,kula_absTEC,kula_absCB,tyla_absTEC,tyla_absCB,rybn_absTEC,rybn_absCB,kamu_absTEC,kamu_absCB,tetu_absTEC,tetu_absCB,time,date
21,16.351,170394549.8481683,16.665,168781638.9615316,17.328,165521204.92944103,13.982,184265152.06917566,16.445,169906862.34902495,16.522,169510478.52745095,16.552,169356792.54717538,16.438,169943035.28504646,10:30:00,08-04-2022
22,16.021,172140495.44497252,16.247,170939043.129984,17.048,166874946.87504318,14.128,183310573.3100238,16.018,172156614.72667262,16.1,171717643.82015827,16.13,171557881.67316133,16.122,171600441.30707657,11:00:00,08-04-2022
23,16.013,172183490.261864,16.114,171643032.63096577,16.758,168312653.0859193,14.803,179082434.31587985,15.835,173148536.43106523,15.947,172539431.07952827,16.006,172221137.1655899,16.018,172156614.72667262,11:30:00,08-04-2022
24,15.827,173192291.19490248,15.783,173433536.74721462,16.534,169448953.94305396,17.488,164762277.47935593,15.511,174947588.25491306,15.788,173406071.6993367,15.755,173587582.55314896,15.719,173786245.92474726,12:00:00,08-04-2022
25,15.932,172620635.02692568,15.795,173367642.54394433,16.442,169922362.20726362,20.562,151948067.63036704,15.496,175032241.68407786,15.833,173159472.0130025,15.728,173736516.14253196,15.62,174336107.1030254,12:30:00,08-04-2022
26,16.225,171054894.74825072,16.105,171690985.7987572,16.707,168569354.0023587,20.762,151214439.9976479,15.811,173279900.32662368,16.083,171808374.0614559,15.892,172837740.67809874,15.873,172941153.2323554,13:00:00,08-04-2022
27,16.401,170134619.63940582,16.303,170645206.99846497,16.855,167827637.22830772,19.578,155719749.60850596,15.987,172323446.22791117,16.292,170702805.22275305,15.955,172496169.1391304,16.105,171690985.7987572,13:30:00,08-04-2022
28,16.429,169989577.31155816,16.448,169891366.73157805,16.873,167738094.65827623,17.993,162433674.4979896,16.156,171419781.2475635,16.406,170108691.993354,15.982,172350399.98376212,16.204,171165700.40447858,14:00:00,08-04-2022
29,16.394,170170938.26926544,16.595,169137236.4882237,17.053,166850480.91879645,18.494,160218415.40578005,16.349,170404971.85189977,16.455,169855226.7719781,16.092,171760322.49456406,16.255,170896973.5931062,14:30:00,08-04-2022
30,16.002,172242660.77214342,16.295,170687090.8321934,16.673,168741141.89683458,17.825,163197345.1689612,15.884,172881260.19047874,16.037,172054602.34640723,15.76,173560044.26749092,15.866,172979299.412102,15:00:00,08-04-2022
31,15.33,175977353.2000255,15.511,174947588.25491306,15.868,172968397.92796248,18.023,162298429.540041,15.099,177318384.63861337,15.146,177043049.91421625,14.985,177991591.03797874,15.133,177119077.98441103,15:30:00,08-04-2022
32,14.683,179812740.21143702,14.864,178714590.55706063,15.355,175834037.472042,19.034,157929342.142973,14.447,181275462.73576176,14.455,181225293.09175497,14.551,180626488.25589386,14.56,180570654.1320374,16:00:00,08-04-2022
33,14.259,182466576.73112413,14.362,181811101.3402417,14.92,178378885.9445587,17.564,164405425.16276106,13.876,184967622.01888242,13.897,184827815.27684543,14.093,183538058.28651553,14.078,183635811.44466296,16:30:00,08-04-2022
34,13.51,187456361.97966596,13.615,186732123.48826253,14.297,182223926.40799806,16.918,167514863.7710855,13.081,190505441.8590093,13.17,189860653.4744817,13.406,188182074.25452134,13.39,188294472.0989489,17:00:00,08-04-2022
35,13.05,190731578.4743046,13.333,188696532.3409591,14.058,183766392.2842064,16.143,171488789.75562227,12.759,192894364.66686568,12.894,191881906.93646753,13.249,189293764.75804645,13.195,189680707.7857964,17:30:00,08-04-2022
36,12.993,191149488.2172232,12.889,191919121.48016155,13.751,185806420.88528007,15.985,172334226.21267217,12.285,196580428.95292202,12.393,195721995.0308127,12.88,191986162.25898528,12.695,193379977.87096664,18:00:00,08-04-2022
37,11.853,200130701.00910783,11.984,199033856.7774676,12.699,193349519.53436708,15.645,174196760.81978756,11.358,204445203.79471612,11.464,203497824.20087212,12.146,197702071.76580763,11.726,201211553.3773883,18:30:00,08-04-2022
38,10.617,211459377.8603726,11.238,205533844.09907433,11.944,199366856.60337526,12.361,195975172.59000462,10.536,212270663.71073636,10.659,211042356.56563687,11.494,203232080.18265715,11.01,207651082.4317631,19:00:00,08-04-2022
39,10.229,215432523.92222968,10.293,214761719.4558151,11.078,207012789.91701823,9.416,224540473.37375078,9.709,221126406.47597638,9.732,220864953.7512616,10.58,211828809.26230067,10.116,216632418.61504528,19:30:00,08-04-2022
40,9.596,222424559.50579903,9.693,221308835.22225776,10.38,213859812.65945736,8.707,233503603.2056756,9.132,228005281.6612483,9.177,227445575.51876986,9.829,219772420.4437305,9.429,224385630.17819536,20:00:00,08-04-2022
41,9.142,227880545.46193436,9.028,229314799.2379992,9.821,219861913.441614,8.481,236594327.1019435,8.546,235692853.60133192,8.434,237252643.70300952,9.057,228947378.4004394,8.73,233195806.82156253,20:30:00,08-04-2022
42,8.646,234325872.73232883,8.74,233062361.4276181,9.625,222089225.5714724,9.338,225476312.6910137,8.129,241662518.40501234,8.155,241276973.24456382,8.616,234733467.1832321,8.386,237930671.2165132,21:00:00,08-04-2022
43,8.006,243511830.83059222,8.431,237294850.71440926,9.173,227495160.34070602,10.27,215002067.9020733,7.853,245872558.30008817,7.84,246076322.28864467,8.253,239840177.13180098,8.137,241543692.32854503,21:30:00,08-04-2022
44,7.48,251928360.20842877,7.89,245295373.56481466,8.676,233920394.1922792,9.974,218169068.2491725,7.405,253200948.0005311,7.284,255295341.58868614,7.661,248934521.60301155,7.726,247885148.02154607,22:00:00,08-04-2022
45,7.056,259387218.8899251,7.468,252130685.25258416,8.365,238229141.75562432,9.489,223675097.5830154,7.109,258418500.24658668,6.902,262265026.98482,7.279,255383008.68429187,7.364,253904833.7446433,22:30:00,08-04-2022
46,6.621,267772556.45147994,6.958,261207502.40741754,7.76,247341504.52169257,8.358,238328881.8235301,6.754,265122954.39201912,6.303,274444293.67830133,6.741,265378475.70329016,6.776,264692210.07115567,23:00:00,08-04-2022
47,6.388,272612273.7538258,6.474,270795542.5090971,7.092,258728038.10665494,6.649,267208145.13582993,6.399,272377860.1860446,5.77,286840157.4541038,6.24,275826230.28258395,6.239,275848334.4001242,23:30:00,08-04-2022
0,7.937,244568020.61462006,7.689,248480852.480539,9.963,218289473.63428804,7.417,252996037.56934026,8.581,235211692.96790737,7.542,250890718.22914824,7.43,252774611.70213655,8.963,230144796.77007085,00:00:00,08-05-2022
1,8.113,241900697.61118472,8.072,242514260.9464875,10.437,213275032.6283272,8.941,230427767.0624383,9.037,229200582.8334958,7.968,244091803.42090943,8.014,243390257.26793206,9.312,225790869.05632842,00:30:00,08-05-2022
2,8.793,232358905.55864257,8.755,232862622.18673152,10.812,209543812.00079146,10.476,212877672.85297817,9.806,220030007.89781192,8.857,231517879.7273052,8.851,231596338.2033425,10.058,217256132.00698698,01:00:00,08-05-2022
3,9.88,219204460.1619339,9.804,220052449.6346134,12.006,198851416.63875297,13.161,189925559.4031538,10.909,208610127.21809685,10.105,216750296.32181022,9.975,218158132.1821841,10.861,209070593.43209925,01:30:00,08-05-2022
4,11.085,206947416.9638884,10.918,208524128.03229886,13.487,187616132.860628,15.33,175977353.2000255,12.003,198876265.300723,11.31,204878580.44170326,11.201,205873031.78021958,11.647,201892795.29106697,02:00:00,08-05-2022
5,12.318,196316932.2502583,12.223,197078366.04162017,14.812,179028019.42210886,15.517,174913761.25806022,13.218,189515608.83952594,12.603,194084516.79438087,12.602,194092217.18585345,10.97,208029317.86803553,02:30:00,08-05-2022
